id,t
38,กฺุล ลิลละซีนะ กะฟะรู อี ยันตะฮู ยุฆฟัร ละฮุม มา กฺ็อด สะละฟะ วะอี ยะอฺูดู ฟะกฺ็อด มะฎ็อต สุนนะตุล เอาวะลีน
39,วะกฺอติลูฮุม ฮัตตา ลา ตะกูนะ ฟิตนะตู วะยะกูนัด ดีนุ กุลลุฮู ลิลลาฮ์  ^  ฟะอินิน ตะเฮา ฟะอินนัล ลอฮะ บิมา ยะอฺ์มะลูนะ บะศีร
40,วะอิน ตะวัลเลา ฟะอฺ์ละมู อันนัล ลอฮะ เมาลากุม  ^  นิอฺ์มัล เมาลา วะนิอฺ์มัน นะศีร
41,วะอฺ์ละมู อันนะมา เฆาะนิมตุม มิน ชัยอิน ฟะอันนะ ลิลลาฮิ คุมุสะฮู วะลิรเราะสูลิ วะลิซิล กฺุรบา วัลยะตามา วัลมะสากีนิ วับนิส สะบีลิ อิน กุนตุม อามันตุม บิลลาฮิ วะมา อันซัลนา อฺะลา อฺับดินา เยามัล ฟุรกฺอนิ เยามัล ตะกฺ็อล ญัมอฺาน  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน เกฺาะดีร
42,อิซ อันตุม บิลอฺุดวะติด ดุนยา วะฮุม บิลอฺุดวะติล กฺุศวา วัรร็อกบุ อัสฟะละ มินกุม  ^  วะเลา ตะวาอฺัตตุม ลัคตะลัฟตุม ฟิล มีอฺาดิ วะลากิล ลิยักฺฎิยัล ลอฮุ อัมร็อน กานะ มัฟอฺูลัล ลิยะฮ์ลิกะ มัน ฮะละกะ อฺัม บัยยินะติว วะยะห์ยา มัน ฮัยยะ อฺัม บัยยินะฮ์  ^  วะอินนัล ลอฮะ ละสะมีอฺุน อฺะลีม
43,อิซ ยุรีกะฮุมุล ลอฮุ ฟี มะนามิกะ เกฺาะลีลา  ^  วะเลา อะรอกะฮุม กะษีร็อล ละฟะชิลตุม วะละตะนาซะอฺ์ตุม ฟิล อัมริ วะลากินนัล ลอฮะ สัลลัม  ^  อินนะฮู อฺะลีมุม บิซาติศ ศุดูร
44,วะอิซ ยุรีกุมูฮุม อิซิล ตะกฺ็อยตุม ฟี อะอฺ์ยุนิกุม เกฺาะลีเลา วะยุกฺ็อลลิลุกุม ฟี อะอฺ์ยุนิฮิม ลิยักฺฎิยัล ลอฮุ อัมร็อน กานะ มัฟอฺูลา  ^  วะอิลัล ลอฮิ ตุรญะอฺุล อุมูร
45,ยาอัยยุฮัล ละซีนะ อามะนู อิซา ละกฺีตุม ฟิอะตัน ฟัษบุตู วัซกุรุล ลอฮะ กะษีร็อล ละอฺัลละกุม ตุฟลิฮูน
46,วะอะฏีอฺุล ลอฮะ วะเราะสูละฮู วะลา ตะนาซะอฺู ฟะตัฟชะลู วะตัซฮะบะ รีฮุกุม  ^  วัศบิรู  ^  อินนัล ลอฮะ มะอฺัศ ศอบิรีน
47,วะลา ตะกูนู กัลละซีนะ เคาะเราะญู มิน ดิยาริฮิม บะเฏาะเรอ์า วะริอาอัน นาสิ วะยะศุดดูนะ อฺัน สะบีลิล ลาฮ์  ^  วัลลอฮุ บิมา ยะอฺ์มะลูนะ มุฮีฏ
48,วะอิซ ซัยยะนะ ละฮุมุช ชัยฏอนุ อะอฺ์มาละฮุม วะกฺอละ ลา ฆอลิบะ ละกุมุล เยามะ มินัน นาสิ วะอินนี ญารุล ละกุม  ^  ฟะลัมมา ตะรออะติล ฟิอะตานิ นะกะเศาะ อฺะลา อฺะกฺิบัยฮิ วะกฺอละ อินนี บะรีอุม มินกุม อินนี อะรอ มา ลา ตะเรอ์านะ อินนี อะคอฟุล ลอฮ์  ^  วัลลอฮุ ชะดีดุล อฺิกฺอบ
49,อิซ ยะกฺูลุล มุนาฟิกฺูนะ วัลละซีนะ ฟี กฺุลูบิฮิม มะเราะฎุน ฆ็อรเราะ ฮาอุลาอิ ดีนุฮุม  ^  วะมัย ยะตะวักกัล อฺะลัล ลอฮิ ฟะอินนัล ลอฮะ อฺะซีซุน ฮะกีม
50,วะเลา ตะรอ อิซ ยะตะวัฟฟัล ละซีนะ กะฟะรุล มะลาอิกะตุ ยัฎริบูนะ วุญูฮะฮุม วะอัดบาเราะฮุม วะซูกฺู อฺะซาบัล ฮะรีกฺ
51,ซาลิกะ บิมา กฺ็อดดะมัต อัยดีกุม วะอันนัล ลอฮะ ลัยสะ บิซฺ็อลลามิล ลิลอฺะบีด
52,กะดะอ์บิ อาลิ ฟิรเอฺานะ วัลละซีนะ มิน กฺ็อบลิฮิม  ^  กะฟะรู บิอายาติล ลาฮิ ฟะอะเคาะซะฮุมุล ลอฮุ บิซุนูบิฮิม  ^  อินนัล ลอฮะ เกฺาะวีย์ยุน ชะดีดุล อฺิกฺอบ
53,ซาลิกะ บิอันนัล ลอฮะ ลัม ยะกุ มุฆ็อยยิร็อน นิอฺ์มะตัน อันอฺะมะฮา อฺะลา เกฺอ์ามิน ฮัตตา ยุฆ็อยยิรู มา บิอันฟุสิฮิม วะอันนัล ลอฮะ สะมีอฺุน อฺะลีม
54,กะดะอ์บิ อาลิ ฟิรเอฺานะ วัลละซีนะ มิน กฺ็อบลิฮิม  ^  กัซซะบู บิอายาติ ร็อบบิฮิม ฟะอะฮ์ลักนาฮุม บิซุนูบิฮิม วะอัฆร็อกฺนา อาละ ฟิรเอฺาน์  ^  วะกุลลุน กานู ซฺอลิมีน
55,อินนะ ชัรร็อด ดะวา-บบิ อฺินดัล ลอฮิล ละซีนะ กะฟะรู ฟะฮุม ลา ยุอ์มินูน
